Date, Open, High, Low, Close
12/21/10, 7593.43, 7660.54, 7593.43, 7657.04
12/20/10, 7485.03, 7556.18, 7485.03, 7541.46
12/17/10, 7494.66, 7522.70, 7477.75, 7477.75
12/16/10, 7459.28, 7492.94, 7451.36, 7486.57
12/15/10, 7427.96, 7468.16, 7390.12, 7464.42
12/14/10, 7440.82, 7443.26, 7392.30, 7438.01
12/13/10, 7408.95, 7451.61, 7408.95, 7442.36
12/10/10, 7403.70, 7407.53, 7366.08, 7387.93
12/09/10, 7467.69, 7524.86, 7389.09, 7402.57
12/08/10, 7440.05, 7504.48, 7439.37, 7467.70
12/07/10, 7372.37, 7480.15, 7372.37, 7465.20
12/03/10, 7380.40, 7417.41, 7309.49, 7386.43
12/02/10, 7258.45, 7371.70, 7241.08, 7371.70
12/01/10, 7110.32, 7243.93, 7110.23, 7243.93
11/30/10, 7092.73, 7123.33, 7033.51, 7071.95
11/29/10, 7235.26, 7273.31, 7091.98, 7092.73
11/26/10, 7242.78, 7283.05, 7196.33, 7226.56
11/25/10, 7206.10, 7271.13, 7195.59, 7266.32
11/24/10, 7096.87, 7193.99, 7069.15, 7183.53
11/23/10, 7172.17, 7172.17, 7090.31, 7090.31
11/22/10, 7289.00, 7295.91, 7180.07, 7203.20
11/19/10, 7304.17, 7305.66, 7227.35, 7260.01
11/18/10, 7245.61, 7293.36, 7245.40, 7285.27
11/17/10, 7144.64, 7218.78, 7139.26, 7207.03
11/16/10, 7311.00, 7311.00, 7148.53, 7164.31
11/15/10, 7231.15, 7334.32, 7224.07, 7329.60
11/12/10, 7257.60, 7303.85, 7198.29, 7266.88
11/11/10, 7388.87, 7391.03, 7297.13, 7318.23
11/10/10, 7395.86, 7425.79, 7352.83, 7371.57
11/09/10, 7285.64, 7409.15, 7285.43, 7404.20
11/08/10, 7337.54, 7337.54, 7273.64, 7288.61
11/05/10, 7331.15, 7357.99, 7279.85, 7331.06
11/04/10, 7268.48, 7343.35, 7265.82, 7323.21
11/03/10, 7253.85, 7279.80, 7181.70, 7195.00
11/02/10, 7239.94, 7265.65, 7231.51, 7246.04
11/01/10, 7271.95, 7278.23, 7204.86, 7238.49
10/29/10, 7299.51, 7312.60, 7215.74, 7227.84
10/28/10, 7345.27, 7357.41, 7285.02, 7295.76
10/27/10, 7366.87, 7399.24, 7322.30, 7328.06
10/26/10, 7414.66, 7420.03, 7350.19, 7362.59
10/25/10, 7398.02, 7450.27, 7391.96, 7422.96
10/22/10, 7385.17, 7393.37, 7361.46, 7374.47
10/21/10, 7239.50, 7439.84, 7239.36, 7419.06
10/20/10, 7177.06, 7234.71, 7167.84, 7231.53
10/19/10, 7232.28, 7285.25, 7181.84, 7192.18
10/18/10, 7258.24, 7280.75, 7217.25, 7244.52
10/15/10, 7349.82, 7351.23, 7225.23, 7259.03
10/14/10, 7473.99, 7479.42, 7325.06, 7328.13
10/13/10, 7363.17, 7463.25, 7363.17, 7449.69
10/12/10, 7327.83, 7342.55, 7266.54, 7336.50
10/11/10, 7293.04, 7353.37, 7293.04, 7343.12
10/08/10, 7255.58, 7272.74, 7213.45, 7269.84
10/07/10, 7195.40, 7265.81, 7168.67, 7250.29
10/06/10, 7190.04, 7237.19, 7175.00, 7191.27
10/05/10, 7058.48, 7169.09, 7045.27, 7154.26
10/04/10, 7122.47, 7151.54, 7061.44, 7061.44
10/01/10, 7120.66, 7171.02, 7099.07, 7122.60
09/30/10, 7039.46, 7154.07, 7033.18, 7095.68
09/29/10, 7048.14, 7077.59, 7020.17, 7043.60
09/28/10, 6981.40, 7042.30, 6953.72, 7038.32
09/27/10, 7035.02, 7037.47, 6976.46, 6978.98
09/24/10, 6896.43, 7020.57, 6882.56, 7016.63
09/23/10, 7000.98, 7013.10, 6861.92, 6916.61
09/22/10, 7055.18, 7056.35, 6961.89, 6969.05
09/21/10, 7073.52, 7115.75, 7043.86, 7051.68
09/20/10, 7017.41, 7104.30, 7017.41, 7103.54
09/17/10, 7048.70, 7097.32, 6974.42, 7002.04
09/16/10, 6987.72, 7006.65, 6961.36, 6989.93
09/15/10, 7001.22, 7001.86, 6936.42, 6983.79
09/14/10, 7045.51, 7057.36, 6941.29, 6979.92
09/13/10, 7022.64, 7064.38, 7017.45, 7036.23
09/10/10, 7004.14, 7043.94, 6970.30, 6972.32
09/09/10, 6849.21, 6937.95, 6830.13, 6921.72
09/08/10, 6759.64, 6868.96, 6745.77, 6857.44
09/07/10, 6796.70, 6818.77, 6741.69, 6771.04
09/06/10, 6797.82, 6818.37, 6764.54, 6770.53
09/03/10, 6750.90, 6797.35, 6716.63, 6761.03
09/02/10, 6720.09, 6747.37, 6703.65, 6730.73
09/01/10, 6557.95, 6715.77, 6527.84, 6715.77
08/31/10, 6458.33, 6527.67, 6441.47, 6527.67
08/30/10, 6534.42, 6542.36, 6495.36, 6518.39
08/27/10, 6472.87, 6498.29, 6402.74, 6498.29
08/26/10, 6489.58, 6502.03, 6451.10, 6485.98
08/25/10, 6479.86, 6531.91, 6387.52, 6435.91
08/24/10, 6581.57, 6584.10, 6457.84, 6495.58
08/23/10, 6625.49, 6655.40, 6596.27, 6612.71
08/20/10, 6695.37, 6718.74, 6597.09, 6619.18
08/19/10, 6775.62, 6820.26, 6698.26, 6698.26
08/18/10, 6737.06, 6760.77, 6712.16, 6742.13
08/17/10, 6658.99, 6749.70, 6658.99, 6749.70
08/16/10, 6687.35, 6708.27, 6611.14, 6650.87
08/13/10, 6680.99, 6695.63, 6604.39, 6679.94
08/12/10, 6598.46, 6684.39, 6579.78, 6624.74
08/11/10, 6778.94, 6781.40, 6630.50, 6631.95
08/10/10, 6859.03, 6859.03, 6781.13, 6792.02
08/09/10, 6830.05, 6874.84, 6830.05, 6872.48
08/06/10, 6866.49, 6896.86, 6773.54, 6793.12
08/05/10, 6832.31, 6875.32, 6825.82, 6844.82
08/04/10, 6831.56, 6831.56, 6765.06, 6812.64
08/03/10, 6822.76, 6844.52, 6791.22, 6827.80
08/02/10, 6710.00, 6803.72, 6702.89, 6803.72
07/30/10, 6667.69, 6689.34, 6595.00, 6637.69
07/29/10, 6688.09, 6745.34, 6647.30, 6685.53
07/28/10, 6702.36, 6716.56, 6659.44, 6685.19
07/27/10, 6709.53, 6737.34, 6668.53, 6680.11
07/26/10, 6686.02, 6699.20, 6640.16, 6679.30
07/23/10, 6609.19, 6660.65, 6587.64, 6628.47
07/22/10, 6472.36, 6584.75, 6450.38, 6574.77
07/21/10, 6428.85, 6520.33, 6428.85, 6471.53
07/20/10, 6428.52, 6441.00, 6362.32, 6390.44
07/19/10, 6391.55, 6426.03, 6338.96, 6360.88
07/16/10, 6496.53, 6529.40, 6375.22, 6375.22
07/15/10, 6516.42, 6556.43, 6471.81, 6493.41
07/14/10, 6556.74, 6571.47, 6480.76, 6517.11
07/13/10, 6426.24, 6526.06, 6416.19, 6518.56
07/12/10, 6421.90, 6448.63, 6387.39, 6409.21
07/09/10, 6378.62, 6408.69, 6365.35, 6399.45
07/08/10, 6384.51, 6403.50, 6339.77, 6358.73
07/07/10, 6264.22, 6358.74, 6192.78, 6340.22
07/06/10, 6178.38, 6325.27, 6172.19, 6292.91
07/05/10, 6215.16, 6223.09, 6140.93, 6140.93
07/02/10, 6178.30, 6250.35, 6159.75, 6176.63
07/01/10, 6211.07, 6271.86, 6122.68, 6134.78
06/30/10, 6252.21, 6298.42, 6223.74, 6251.04
06/29/10, 6389.27, 6389.27, 6240.23, 6244.68
06/28/10, 6415.68, 6451.01, 6369.13, 6433.56
06/24/10, 6588.75, 6590.50, 6408.72, 6419.72
06/23/10, 6581.13, 6617.88, 6535.94, 6562.54
06/22/10, 6639.01, 6664.67, 6569.82, 6630.06
06/21/10, 6691.43, 6724.57, 6648.21, 6658.97
06/18/10, 6602.36, 6641.69, 6589.06, 6626.42
06/17/10, 6561.80, 6583.25, 6518.21, 6570.12
06/16/10, 6767.76, 6774.13, 6513.86, 6575.73
06/15/10, 6630.24, 6731.23, 6600.00, 6727.50
06/14/10, 6628.99, 6664.43, 6620.00, 6658.16
06/11/10, 6596.48, 6597.67, 6490.48, 6575.14
06/10/10, 6432.39, 6569.63, 6384.73, 6559.25
06/09/10, 6446.26, 6496.04, 6368.28, 6449.46
06/08/10, 6451.10, 6472.25, 6330.69, 6385.83
06/07/10, 6401.19, 6483.02, 6356.75, 6397.88
06/04/10, 6616.93, 6673.24, 6469.70, 6470.45
06/03/10, 6614.63, 6657.99, 6598.53, 6609.06
06/02/10, 6468.99, 6529.32, 6424.24, 6523.44
06/01/10, 6470.82, 6518.50, 6360.36, 6500.58
05/31/10, 6486.39, 6524.18, 6479.21, 6490.40
05/28/10, 6521.61, 6551.08, 6473.99, 6487.30
05/27/10, 6350.76, 6484.33, 6323.85, 6484.33
05/26/10, 6259.91, 6379.78, 6258.63, 6320.64
05/25/10, 6185.11, 6185.11, 6071.62, 6158.33
05/24/10, 6348.21, 6387.05, 6251.54, 6295.84
05/21/10, 6314.03, 6350.58, 6172.28, 6300.99
05/20/10, 6477.21, 6512.85, 6236.86, 6310.12
05/19/10, 6592.19, 6592.19, 6439.68, 6440.22
05/18/10, 6640.60, 6688.96, 6622.05, 6656.71
05/17/10, 6524.43, 6643.98, 6521.98, 6554.35
05/14/10, 6766.02, 6766.02, 6545.36, 6550.82
05/12/10, 6630.51, 6801.18, 6607.86, 6786.81
05/11/10, 6703.77, 6703.77, 6564.07, 6647.49
05/10/10, 6480.55, 6755.16, 6480.55, 6726.17
05/07/10, 6337.43, 6422.48, 6206.77, 6263.22
05/06/10, 6571.38, 6673.24, 6525.20, 6544.35
05/05/10, 6742.04, 6779.54, 6619.92, 6650.21
05/04/10, 7000.65, 7013.82, 6774.83, 6774.83
05/03/10, 6984.09, 7010.68, 6947.67, 6988.08
04/30/10, 6928.79, 7003.22, 6928.54, 6997.54
04/29/10, 6850.15, 6947.28, 6833.65, 6927.67
